COUNTRY;PUBLICATION COUNT
United States;8470
China;1838
Germany;1268
Canada;1053
France;822
Switzerland;679
Israel;581
United Kingdom;488
Hong Kong;460
South Korea;398
undefined;395
Japan;344
Austria;277
Spain;204
Saudi Arabia;183
Italy;179
Czech Republic;114
None  Quantity;112
Taiwan;109
Singapore;105
Netherlands;79
Sweden;76
Finland;66
Brazil;64
Belgium;56
Ireland;55
India;52
New Zealand;37
Australia;34
Denmark;30
Norway;14
Turkey;13
Poland;11
South Africa;10
Portugal;10
Mexico;6
Russian Federa;6
Morocco;4
Slovakia;4
Thailand;4
Cyprus;4
Greece;3
Qatar;3
Malaysia;2
Lebanon;2
Uruguay;2
Bulgaria;2
Lithuania;2
Chile;2
Hungary;2
Viet Nam;2
Venezuela;1
Pakistan;1
Argentina;1
United Arab Em;1
Indonesia;1
